un,condition,vis,totalTime,visTime,hoverCount,clickCount,brushCount
643,all,us-healthcare,303.631,236.007,42,16,0
653,int,carbon-clock,58.55,40.808,370,3,124
654,none,carbon-clock,41.996,13.037,0,0,0
655,all,gun-deaths,73.754,63.798,0,1,0
634,none,measles,280.107,33.732,0,0,0
623,all,gun-deaths,1141.18,113.321,0,32,0
639,all,gun-deaths,404.457,97.872,0,15,0
650,none,measles,314.182,218.852,0,0,0
647,all,measles,192.461,134.727,0,5,0
656,story,gun-deaths,71.862,11.463,0,0,0
657,int,gun-deaths,91.795,1.649,0,17,0
658,none,gun-deaths,102.165,2.667,0,0,0
660,story,us-healthcare,152.082,3.628,2,0,0
665,int,measles,141.22,67.997,66,5,0
659,all,us-healthcare,216.134,112.433,196,42,0
663,all,measles,200.897,125.556,0,2,0
664,story,measles,77.924,67.366,0,0,0
666,none,measles,186.752,120.36,0,0,0
667,all,carbon-clock,277.774,262.461,358,4,142
669,int,carbon-clock,30.21,2.775,11,0,0
